appliance,path,mae,f1,mae_on,P_MAX_kw,epoch
Dishwasher,TCN_SA_Dishwasher_20260126_225619_best.pt,42.812286,0.6654470566124958,204.36257934570312,2.5,17
Dryer,TCN_SA_Dryer_20260127_104154_best.pt,627.09216,0.0,583.0131225585938,3.0,1
EVCharger,TCN_SA_EVCharger_20260126_204724_best.pt,200.04343,0.6112280653117983,658.4680786132812,7.5,12
EVSocket,TCN_SA_EVSocket_20260127_114410_best.pt,271.34845,0.554505351218712,454.1010437011719,3.024,2
HeatPump,TCN_SA_HeatPump_best.pt,62.258118,0.9123657726437164,185.6876220703125,1.66,14
Oven,TCN_SA_Oven_20260127_075244_best.pt,10.371859,0.7639639589502638,228.0549774169922,1.082,32
RainwaterPump,TCN_SA_RainwaterPump_20260127_100548_best.pt,9.333567,0.0,0.0,0.506,1
RangeHood,TCN_SA_RangeHood_20260127_091844_best.pt,1.7967716,0.4354139126286808,6.133934020996094,0.217,20
Stove,TCN_SA_Stove_20260127_054136_best.pt,11.105648,0.6697247656536961,331.6205139160156,3.527,32
WashingMachine,TCN_SA_WashingMachine_20260127_013621_best.pt,6.58247,0.9774116346467091,71.7958984375,2.5,45
